type,name,duration_sec,gain_mode,integrated_lufs,size_bytes
sfx,air_horn_meme,1.25,loud,-18.4,26166
sfx,boom_cinematic,3.0,loud,-18.0,61170
sfx,camera_shutter,0.32,peak,n/a_short,7880
sfx,coin_ping,0.55,peak,n/a_short,12582
sfx,countdown_beeps,2.4,loud,-18.4,49154
sfx,countdown_tick_single,0.09,peak,n/a_short,3178
sfx,cut_tick,0.09,peak,n/a_short,3178
sfx,error_buzz,0.42,peak,n/a_short,9970
sfx,gong_section,4.2,loud,-20.0,85203
sfx,heartbeat_tension,4.6,loud,-18.2,93562
sfx,impact_bright,0.55,peak,n/a_short,12582
sfx,impact_deep,1.6,loud,-18.4,33480
sfx,laser_pew,0.3,peak,n/a_short,7358
sfx,logo_sting,1.8,loud,-18.4,37137
sfx,notification_ding,0.85,loud,-18.4,18329
sfx,pop_bubble,0.13,peak,n/a_short,3701
sfx,prompt_tick,0.05,peak,n/a_short,2133
sfx,rewind_sweep,0.75,peak,n/a_short,16240
sfx,riser_tension,2.6,loud,-18.4,53333
sfx,room_tone_loop,30.0,loud,-18.3,601382
sfx,scroll_ratchet,0.5,peak,n/a_short,11537
sfx,sparkle_magic,1.7,loud,-18.5,35570
sfx,success_chime,1.5,loud,-18.4,31391
sfx,swipe_paper,0.3,peak,n/a_short,7358
sfx,terminal_bell,1.0,loud,-18.4,21464
sfx,text_reveal_soft,0.34,peak,n/a_short,8403
sfx,type_backspace,0.05,peak,n/a_short,2133
sfx,type_burst_mech,2.8,loud,-25.3,57513
sfx,type_burst_soft,3.2,loud,-21.9,65350
sfx,type_enter,0.1,peak,n/a_short,3701
sfx,type_key_roll,0.5,peak,n/a_short,11537
sfx,type_key_single,0.05,peak,n/a_short,2133
sfx,typing_keyboard,1.5,loud,-26.1,31391
sfx,ui_click,0.07,peak,n/a_short,2656
sfx,ui_double_click,0.2,peak,n/a_short,5268
sfx,ui_hover_soft,0.05,peak,n/a_short,2133
sfx,vinyl_crackle_loop,9.0,loud,-19.5,181333
sfx,vinyl_stop,0.7,peak,n/a_short,15195
sfx,whoosh_short,0.42,peak,n/a_short,9970
sfx,whoosh_transition,0.95,loud,-19.7,20419
bgm,bgm_ambient_underscore,48.0,loudmusic,-20.4,1153610
bgm,bgm_cinematic_tension,30.0,loudmusic,-19.9,721649
bgm,bgm_hook_loop_8s,7.74,loudmusic,-20.2,187497
bgm,bgm_lofi_focus,38.92,loudmusic,-19.9,935435
bgm,bgm_playful_marimba,27.69,loudmusic,-20.2,666479
bgm,bgm_screen_bed,40.0,loudmusic,-19.9,961767
bgm,bgm_tech_explainer,32.54,loudmusic,-20.0,782462
bgm,bgm_terminal_flow,36.52,loudmusic,-20.0,878384
bgm,bgm_upbeat_vlog,25.71,loudmusic,-20.2,618831
